gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
GRDC_1159600,1.865543007850647,7.004794597625732,3.7548287914821032,0.0,-0.7452154159545898,0.3525865077972412,0.0648186173853525,1.376453488372093,0.7427104722792608,6.189960068454079
GRDC_1159601,1.843872308731079,7.0362935066223145,3.816041638731789,0.0,-0.7490606307983398,0.34395933151245117,0.0650239561943874,1.3768115942028984,0.7440793976728268,6.229799426934098
GRDC_1159650,2.878213405609131,5.46299409866333,1.8980503975198355,0.0,-0.5190586447715759,0.5818405151367188,0.041204654346338125,1.323076923076923,0.5736481861738535,4.607476635514018
GRDC_1159651,3.003018856048584,5.083349227905273,1.6927463567758008,0.0,-0.4671687185764313,0.6349165439605713,0.03812457221081451,1.2983682983682985,0.5619438740588638,4.573816155988858
GRDC_1159653,2.972562789916992,5.421973705291748,1.8240064511616776,0.0,-0.48737284541130066,0.5441121459007263,0.05612594113620808,1.3078149920255184,0.6427789185489391,5.035388739946381
GRDC_1159655,3.06148624420166,4.885683536529541,1.595853499516074,0.0,-0.4468745291233063,0.7710726857185364,0.03552361396303901,1.291044776119403,0.5436002737850787,4.551289398280803
GRDC_1159660,2.639089822769165,6.107980728149414,2.3144269950389122,0.0,-0.597194492816925,0.5147275924682617,0.05373032169746749,1.3127090301003344,0.6376454483230664,4.789717223650386
GRDC_1159670,2.555162191390991,5.693771839141846,2.2283406737645266,0.0,-0.5954921841621399,0.5054631233215332,0.05598904859685147,1.3004769475357711,0.6552361396303902,5.399323181049069
GRDC_1159673,2.7024543285369873,5.331915855407715,1.9729901812232382,0.0,-0.5422813296318054,0.5233029723167419,0.05434633812457221,1.2889610389610389,0.6310746064339493,5.357350377687391
GRDC_1159675,2.6794252395629883,5.654852390289307,2.1104721664903057,0.0,-0.5663016438484192,0.49957913160324097,0.05715263518138262,1.3643790849673203,0.6464750171115674,5.465856481481482
GRDC_1159800,2.4152276515960693,6.213632583618164,2.5726902304683255,0.0,-0.6449288129806519,0.6227331757545471,0.04948665297741273,1.3590225563909775,0.6356605065023956,5.907760814249364
GRDC_1159805,2.502169370651245,6.464159965515137,2.583422226063256,0.0,-0.6464563012123108,0.5831273794174194,0.05160848733744011,1.3885819521178637,0.6416153319644079,5.6640483383685805
GRDC_1159810,2.505108594894409,6.467233180999756,2.581617896397961,0.0,-0.6461576819419861,0.5832415223121643,0.051471594798083505,1.3874538745387455,0.6412046543463381,5.650180940892642
GRDC_1159811,2.4228055477142334,7.501220226287842,3.096088430771829,0.0,-0.7036095261573792,0.4907204508781433,0.05893223819301848,1.3601895734597156,0.679876796714579,5.832648267762772
GRDC_1159813,2.5498499870300293,6.017998695373535,2.3601383320526543,0.0,-0.6135135889053345,0.6442139148712158,0.052224503764544836,1.3723021582733812,0.633949349760438,5.52955223880597
GRDC_1159815,2.6534388065338135,5.968654632568359,2.2494035354692095,0.0,-0.5931570529937744,0.6864540576934814,0.05181382614647502,1.3517857142857144,0.6209445585215606,5.3648728562980486
GRDC_1159820,2.337103843688965,5.91218376159668,2.5297052065366024,0.0,-0.6393454670906067,0.6108217239379883,0.0567419575633128,1.3414239482200647,0.6706365503080082,5.7976331360946745
GRDC_1159825,2.312896490097046,5.954261302947998,2.574374308769073,0.0,-0.6473429799079895,0.5609443783760071,0.05906913073237509,1.3569182389937107,0.6928131416837783,5.8205865439907996
GRDC_1159830,3.5551564693450928,5.19439697265625,1.4610881454714502,0.0,-0.3908339738845825,1.0029613375663757,0.044421629021218344,1.2902584493041749,0.5432580424366872,4.679834905660377
