q_sim,q_obs
0.18167154105756564,0.37
0.17879644532502617,0.39
0.17221195932914338,0.37
0.1658671461526048,0.37
0.1723660490714416,0.38
0.16785274032089953,0.37
0.16425577777780628,0.37
0.19420910717078696,0.46
0.20328073502423516,0.82
0.19599518832264823,0.37
0.1855835031943014,0.35
0.175555685518841,0.34
0.16662831689651564,0.33
0.16667677446113727,0.33
0.1617056229275849,0.34
0.1541098369369572,0.33
0.14991093794415009,0.34
0.1554973471459815,0.37
0.16905105890073144,0.57
0.18902497163237753,0.82
0.19238902428187502,0.46
0.19521905984292762,0.37
0.19532295905108316,0.35
0.21331593259168335,0.39
0.24262508419093018,0.82
0.23824273346279884,0.39
0.22721960386858361,0.37
0.215937573526309,0.35
0.20554302776948366,0.35
0.19624543779223505,0.35
0.19502759828165386,0.36
0.19228644298940448,0.34
0.18926173610920374,0.35
0.22622987128561053,0.49
0.26464892384060384,1.0
0.26759825054707304,0.49
0.2561180408208886,0.4
0.27178324327368303,0.37
0.3472260818478625,0.96
0.3505901021913374,0.5
0.3401163611736514,0.42
0.32245417604221305,0.4
0.3150654995835365,0.39
0.3069603749981134,0.38
0.2966380039824936,0.37
0.28370728821406804,0.37
0.27074811022468626,0.37
0.28594918841112255,0.37
0.29985048048783486,0.47
0.291725376846864,0.37
0.28820525722508405,0.36
0.28641111085370874,0.35
0.2842051385095064,0.35
0.28365623732901774,0.39
0.27739519010148994,0.37
0.27238835898594294,0.35
0.29004510208821094,0.49
0.29726749470201624,0.48
0.3231688523289269,0.58
0.31800491562707844,0.43
0.3140633960684674,0.39
0.30447442061990565,0.37
0.2925798967039163,0.35
0.280585856675797,0.35
0.2755947097888983,0.35
0.2711735317187865,0.35
0.2764815526894944,0.36
0.2699903539478394,0.35
0.2571417362443227,0.34
0.24666181065775006,0.33
0.23571436768459822,0.33
0.2384851863763018,0.35
0.2682778253156045,0.34
0.32323673738686176,0.8
0.33223780324691965,0.46
0.3250393615075854,0.41
0.31470367530693466,0.37
0.3092812686570706,0.36
0.37862036536843485,0.67
0.37838629097000787,0.41
0.37636844601584374,0.45
0.3992723125566594,0.53
0.3963496124542245,0.45
0.38601532430289415,0.44
0.3821248477330098,0.42
0.3664926963048578,0.4
0.351562511841581,0.38
0.33886860084164827,0.37
0.32480664026983674,0.36
0.31092933838628467,0.35
0.30548860143517215,0.35
0.38577986119172836,0.59
0.4403449518404028,0.74
0.43398234985709505,0.62
0.4159117047262718,0.51
0.4509657268054804,0.58
0.45091940397459074,0.48
0.45535631695516193,0.48
0.46338175054696057,0.58
0.4604972635718409,0.48
0.45430453173736096,0.49
0.48000808027593,0.53
0.4772558984423954,0.49
0.47098770700950077,0.47
0.5202375757811566,0.6
0.5582684551376957,0.66
0.5640108713635577,0.6
0.550802651442991,0.55
0.5327342690713718,0.52
0.5175358088911102,0.51
0.5032490179137383,0.51
0.49083644218086087,0.49
0.47019323529231877,0.47
0.44789692368712564,0.49
0.4398051375031866,0.47
0.43236982516415934,0.48
0.4426607603431626,0.52
0.42817576314402783,0.48
0.4831118658703069,0.53
0.5186730608241161,0.96
0.5235276228851381,0.62
0.5117856419964409,0.57
0.5480970351378408,0.58
0.5808826622025491,0.65
0.6022592741642381,0.74
0.6622396334723996,0.85
0.715993057761259,0.78
0.8188011895429589,1.12
0.8039668314779287,0.9
0.7611580103591276,0.76
0.7190624535057496,0.69
0.678989769896,0.67
0.641106649415998,0.65
0.6416260194618318,0.64
0.6209390328617759,0.67
0.5949452105121711,0.64
0.5752972801240036,0.63
0.5788716300470215,0.61
0.5668029898909752,0.62
0.5451636668544249,0.59
0.5548881780929393,0.57
0.5575566837045343,0.63
0.5762528627527161,0.74
0.6961181239211212,0.87
1.4319711032958882,1.23
1.6549345998985134,1.52
1.1939374194493644,1.3
1.0832186354897988,1.07
1.0716793816725567,0.96
1.1538229155834607,1.04
1.6302589564990941,1.46
1.290362503060993,1.19
1.1862907579403847,1.02
1.1169563249573566,0.93
1.05458881621243,0.86
0.9959360700163852,0.83
0.9403857862030672,0.79
0.899283943697878,0.78
0.8505031522437919,0.75
0.8307367780234512,0.74
0.8173649254224015,0.72
0.8530181192710344,0.96
0.9345595902553749,1.12
2.1601379364938316,2.1
1.950410117018709,2.52
1.3418833544409459,1.92
1.3054947735735232,1.58
1.2966438307932406,1.46
1.2769581494921403,1.23
1.2453874995391703,1.13
1.2042161264866555,1.06
1.1683359091538477,1.01
1.1620898194814842,0.99
2.507983987591365,1.61
5.133366120882233,6.24
3.5117209691558418,3.94
2.311994229823994,2.7
1.7591509629967605,2.05
1.6175375067491744,1.82
1.6089379783797422,1.69
1.5656256580520918,1.48
1.5075188787767622,1.38
1.462356756015627,1.24
1.5373509930461644,1.47
1.4862479503362163,1.27
1.4152694037405034,1.22
1.3874444163238548,1.18
1.4493495676660881,1.36
1.4101700177042042,1.25
1.390142524754863,1.18
1.3605203306474272,1.14
1.3710416509682601,1.11
1.4989774419151156,1.37
1.4794632829427838,1.38
1.462644100225174,1.25
1.3889495553600009,1.18
1.3122458827860666,1.14
1.264650356073303,1.1
1.2388642468666977,1.05
1.2641856584295914,1.11
1.270188067661652,1.09
1.3350920821233128,1.1
1.770840036490425,1.58
1.519415785327822,1.42
1.426516477277372,1.2
1.4741197298546864,1.22
1.4626478136697938,1.18
1.4462162166418462,1.15
1.4796579205686615,1.13
2.0922577289431623,1.38
3.5730529108263163,2.58
3.4224717034979166,2.73
3.074443115578245,2.21
8.030463946512205,7.05
4.213839641904392,4.83
3.3813348007642903,2.97
2.8783734832409023,2.61
2.299546768989306,2.47
2.2043330668724535,2.11
4.40627538915156,3.76
8.34226693771759,8.42
5.085582168797245,5.31
3.9455984569411653,4.05
4.368575406715289,4.23
4.3243568018954175,3.61
2.916554244619362,2.83
2.3921126406753563,2.72
2.3052286800423567,2.63
2.266988499034153,2.35
2.166782898854134,2.17
2.054449661336644,2.06
1.9464198143301903,2.01
1.9107001410251523,1.95
1.9096589175340464,1.93
1.8703905903437952,1.85
1.8533539994009733,1.75
1.8635014277141304,1.89
1.799403638388206,1.69
1.7800569360558725,1.62
2.2415241757941584,1.94
1.979239872074563,1.88
1.8606437816580432,1.72
1.82795635043847,1.66
1.7984018905143762,1.6
4.4826609179575,3.08
3.9738746513784706,3.98
3.168951956237459,2.55
3.1227860788270956,2.43
2.161687962939085,2.34
1.9956095380700678,2.08
2.2600894762673662,1.97
2.0860494179547855,1.99
2.0047657351139314,1.81
1.932357012814549,1.73
2.4210465689408593,1.85
2.0133491662469334,1.76
1.9430283756819828,1.67
2.160356796037873,1.73
2.5151594412096987,2.0
2.0569877833353947,1.8
1.9206499077195507,1.65
1.8320104102551342,1.6
1.752487140173036,1.56
1.7019579302427026,1.47
1.7115104313587968,1.43
1.7305328167003846,1.4
1.6820964774455514,1.29
1.619476366521788,1.25
1.5455554995157914,1.24
1.4574216933949589,1.2
1.3797193922411275,1.19
1.3025955246223149,1.17
1.2299455568436874,1.16
1.2105449100221979,1.15
1.232824204143186,1.15
1.265363507627021,1.31
1.5183419340941287,1.79
1.3744628484601935,1.23
1.335451910026233,1.11
1.2678612464985533,1.09
1.1992254666249076,1.04
1.140381520204802,1.01
1.0803843034017568,0.97
1.0237945445307495,0.95
0.970305573220695,0.92
0.9199769272800447,0.92
0.8877086855542178,0.91
0.8574785032590856,0.88
0.8201552503836133,0.86
0.7744589937018163,0.85
0.742798332051824,0.86
0.7506884341971017,0.86
1.1194578960878008,1.26
0.9153151980711178,1.03
0.8874059959984876,0.88
0.8475097180336283,0.86
0.8548270636315443,0.96
0.8450071085967888,0.89
0.9380920472169763,0.98
0.9603969831230409,0.88
1.0073174139526284,0.9
1.042757273188342,1.32
1.0070251230372351,0.91
0.9630100030992734,0.84
0.9223693035312276,0.79
0.894947380101758,0.84
0.9110623643301325,0.83
0.9143030708837533,0.86
0.9093946062480339,0.79
0.883552828989521,0.75
0.8382578044815822,0.74
0.7990311311823903,0.69
0.7681010062635871,0.68
0.7299006628713767,0.64
0.6922056415553184,0.62
0.6580584309928785,0.59
0.6237382252267,0.56
0.5971573637537712,0.56
0.6349416677013843,0.61
0.6168942200025974,0.56
0.6251133255759602,0.62
0.6441609050778939,0.68
0.6299641791334368,0.66
0.5964483124503763,0.54
0.5636119841381971,0.42
0.5312599417425571,0.51
0.5022178349067352,0.5
0.5567646423235075,0.67
0.5625376767120265,0.52
0.5483408302427946,0.5
0.5253821726319677,0.47
0.5347147880740252,0.62
0.525793637676237,0.49
0.5333500645816396,0.5
0.552606491386678,0.63
0.8095020278143686,0.9
0.7105580432805975,0.78
0.6766672194787096,0.51
0.64688409330338,0.49
0.6164747394337705,0.38
0.5999546577393999,0.44
0.5750373667720579,0.45
0.5461198460906292,0.44
0.5211486159125269,0.43
0.49649671918240124,0.42
0.4711410444663189,0.4
0.44594132221583405,0.4
0.4218946627069092,0.4
0.40044776804636434,0.39
0.38121104128339667,0.39
0.3603684584110255,0.39
0.34191538807967414,0.39
0.32407407645264147,0.39
0.3067563487162728,0.39
0.3436855955466226,0.43
0.35451626202948633,0.47
0.34410779878215825,0.42
0.3630225877195678,0.4
0.3959576329231834,0.54
0.3983777866832406,0.46
0.38979486513097444,0.42
0.3741273312490751,0.39
0.3553822709095064,0.39
0.33686302990998096,0.37
0.32131768052851173,0.37
0.3053630847011217,0.37
0.28981171676403195,0.37
0.284446015694904,0.37
0.2993819606478851,0.38
0.29621856216991266,0.4
0.29094785372341747,0.37
0.3241467803184185,0.53
0.31636314082160144,0.37
0.3055269737301337,0.36
0.29242038752806016,0.36
0.2778789160249859,0.35
