Epoch: 1  | Loss training: 0.220 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 2  | Loss training: 0.178 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 3  | Loss training: 0.160 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 4  | Loss training: 0.144 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 5  | Loss training: 0.134 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 6  | Loss training: 0.125 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 7  | Loss training: 0.120 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 8  | Loss training: 0.114 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 9  | Loss training: 0.111 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 10 | Loss training: 0.109 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00100 
Epoch: 11 | Loss training: 0.103 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 12 | Loss training: 0.100 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 13 | Loss training: 0.097 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 14 | Loss training: 0.096 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 15 | Loss training: 0.094 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 16 | Loss training: 0.094 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 17 | Loss training: 0.091 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 18 | Loss training: 0.090 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 19 | Loss training: 0.089 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Epoch: 20 | Loss training: 0.088 | Loss validation: nan | Epoch time: 1.4  s | LR:0.00050 
Total training time: 28.7  s
Epoch: 1  | Loss training: 0.336 | Loss validation: 0.097 | Epoch time: 7.6  s | LR:0.00100 
Epoch: 2  | Loss training: 0.147 | Loss validation: 0.079 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 3  | Loss training: 0.108 | Loss validation: 0.096 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 4  | Loss training: 0.082 | Loss validation: 0.132 | Epoch time: 4.8  s | LR:0.00100 
