gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
camelsde_110810,48.02194392,8.277182458,Unterlinach,Germany,9.710812081935336
camelsde_110820,47.9905022,9.966625127,Hirschbronn-Zulauf,Germany,24.915155453093995
camelsde_110830,47.9774907,9.985375511,Spindelwag-Zulauf,Germany,29.72896828128445
camelsde_110840,47.95178348,10.04177205,Kunenberg,Germany,7.052481175754945
camelsde_110860,47.96825562,9.365719053,Jettkofen,Germany,108.2649206
camelsde_110870,47.74815094,10.1266363,Häfeliswald,Germany,18.566059126264907
camelsde_110880,48.00141818,9.237642221,Bittelschieß,Germany,138.81027786907305
camelsde_110890,47.94851938,10.04861432,Schmiddis,Germany,5.914417876304752
camelsde_110900,47.93558871,8.500637688,Donaueschingen,Germany,292.22019847391294
camelsde_110920,48.81870717,8.297144076,Bad Rotenfels,Germany,466.2247716776759
camelsde_110930,49.55414694,8.675077544,Weinheim,Germany,175.21179422214627
camelsde_110940,48.33993005,7.850372499,Lahr,Germany,128.82738815773308
camelsde_110950,47.70471129,9.818650604,Beutelsau,Germany,262.9156434162288
camelsde_110960,48.93254792,10.13961702,Schwabsberg,Germany,176.99441052037852
camelsde_110970,49.2222129,9.894453969,Elpershofen,Germany,809.6079719663599
camelsde_110980,48.88637414,9.392097069,Leutenbach,Germany,46.37215956449283
camelsde_110990,48.79968884,9.391992619,Beutelsbach-Bad,Germany,29.34708828655952
camelsde_111000,48.56786757,9.636286851,Wiesensteig,Germany,31.28231222303328
camelsde_111010,48.62733309,9.816412512,Geislingen,Germany,145.57226771644716
camelsde_111020,49.28524973,9.563832522,Forchtenberg,Germany,72.29060848574555
camelsde_111030,48.68617629,9.381644785,Wendlingen-Kläranlage,Germany,3243.7047103783366
camelsde_111040,48.84735707,9.315819813,Neustadt,Germany,565.1171709489807
camelsde_111060,49.09192345,10.02389517,Unterspeltach,Germany,35.11858176726228
camelsde_111070,48.72621537,8.890810051,Schafhausen,Germany,238.21045687388624
camelsde_111110,48.52703475,8.077403692,Oberkirch,Germany,162.92507653625066
camelsde_111120,48.47314787,8.387323535,Christophstal,Germany,19.35791432998248
camelsde_111130,49.29201295,8.679112616,Wiesloch,Germany,112.96782181150094
camelsde_111140,47.62798639,9.596098211,Gießen,Germany,647.660579555329
camelsde_111150,47.73781566,8.838961584,Rielasingen,Germany,201.8676284871728
camelsde_111160,47.6725752,9.534897818,Gerbertshaus,Germany,773.8745191265151
camelsde_111170,47.8278577,9.638556038,Rainpadent,Germany,168.41440392970705
camelsde_111180,47.75407396,9.308415415,Neufrach,Germany,73.21764449100046
camelsde_111190,47.94285438,8.007667092,Falkensteig,Germany,41.000151435897
camelsde_111200,47.84260097,8.849845735,Aach-Niedrigwasser,Germany,7.915839167905261
camelsde_111210,47.78055732,9.600427561,Ravensburg,Germany,639.6433232523545
camelsde_111220,47.65913117,9.496326722,Friedrichshafen,Germany,126.147164268872
camelsde_111230,47.67703841,9.862591425,Epplings,Germany,163.23569978320202
camelsde_111240,47.71516029,10.0518261,Rengers,Germany,128.62737698238683
camelsde_111250,49.28817139,8.688154666,Wiesloch,Germany,54.95582179574435
camelsde_111260,48.77431855,8.220036784,Baden-Baden,Germany,73.46347375626588
camelsde_111270,48.67075952,9.393381128,Wendlingen,Germany,188.4632404905476
camelsde_111280,48.68849453,8.696342629,Bad Teinach,Germany,53.522866975951146
camelsde_111290,49.07188632,9.512284257,Böhringsweiler,Germany,16.184383946142503
camelsde_111300,48.98534045,9.743195403,Mittelrot,Germany,124.3446007233164
camelsde_111310,48.1378671,8.565617773,Horgen-Kläranlage,Germany,204.5345707167301
camelsde_111320,48.56591728,8.721682208,Nagold,Germany,375.8205782483191
camelsde_111330,48.5502469,8.471428793,Erzgrube-Zulauf,Germany,33.63574445197679
camelsde_111340,48.78214344,8.521699466,Eyachmühle,Germany,37.22135429
camelsde_111350,48.73630242,8.474796712,Brotenau,Germany,9.232414865500516
camelsde_111360,48.55977966,9.042628748,Bebenhausen,Germany,44.53546082
camelsde_111370,48.34171134,8.786832228,Gruol,Germany,75.57165392865097
camelsde_111380,48.63720943,9.323664457,Oberensingen,Germany,178.6918060220304
camelsde_111390,48.49054281,9.065962525,Tübingen,Germany,137.9602585694035
camelsde_111400,48.94663753,8.39850395,Ettlingen,Germany,148.80655377492312
camelsde_111410,48.59873901,8.380152428,Schwarzenberg,Germany,178.28654854773552
camelsde_111420,48.60678782,8.363672684,Schönmünzach,Germany,47.13617930420139
